Application Status,Admission Test,Admission Test 2,Terminal Degree,Document Verified,Offered
Application Fee Received,85,85,975,1,Yes
Application Fee Received,86,86,972,1,Yes
Challan Printed,53,0,707,0,No
Application Fee Received,42,0,878,0,No
Application Fee Received,44,0,834,0,No
Application Fee Received,55,0,823,0,No
Application Received,53,0,774,0,No
Application Fee Received,44,0,750,0,No
Application Fee Received,49,0,823,0,No
Application Fee Received,63,0,889,0,No
Application Fee Received,62,0,946,0,No
Application Fee Received,65,0,891,0,No
Application Fee Received,50,0,787,0,No
Application Fee Received,71,0,958,0,No
Application Fee Received,67,67,960,0,No
Admission Fee Challan Received,82,82,1007,1,Yes
Application Fee Received,40,0,603,0,No
Application Fee Received,54,0,933,0,No
Challan Printed,42,0,604,0,No
Application Fee Received,47,0,864,0,No
Application Fee Received,54,0,916,0,No
Application Fee Received,49,0,879,0,No
Application Fee Received,60,0,831,0,No
Application Fee Received,53,0,919,0,No
Application Fee Received,54,0,936,0,No
Application Fee Received,74,0,909,0,No
Application Fee Received,68,68,946,0,No
Application Fee Received,72,72,973,1,No
Admission Fee Challan Received,79,79,987,1,Yes
Application Fee Received,52,0,793,0,No
Application Fee Received,78,0,943,0,No
Application Fee Received,51,0,727,1,No
Application Fee Received,69,0,833,0,No
Application Fee Received,49,0,752,0,No
Application Fee Received,68,0,942,0,No
Application Fee Received,56,0,837,0,No
Application Fee Received,56,0,881,0,No
Challan Printed,48,0,816,0,No
Challan Printed,79,79,939,0,No
Application Fee Received,63,0,928,0,No
Application Fee Received,74,74,961,0,No
Application Fee Received,44,0,803,0,No
Application Fee Received,54,54,921,0,No
Challan Printed,42,0,930,0,No
Application Fee Received,81,81,961,0,No
Challan Printed,48,0,935,0,No
Application Fee Received,50,45,876,0,No
Challan Printed,44,0,652,0,No
Application Fee Received,53,0,934,0,No
Application Fee Received,32,0,752,0,No
Application Fee Received,60,0,915,0,No
Application Fee Received,76,0,932,0,No
Application Fee Received,51,0,857,0,No
Application Fee Received,58,58,912,0,No
Application Fee Received,55,55,814,0,No
Application Fee Received,58,0,892,0,No
Application Fee Received,81,81,946,0,No
Application Fee Received,78,78,962,0,No
Application Fee Received,56,0,912,0,No
Application Fee Received,43,0,614,0,No
Challan Printed,45,0,737,0,No
Application Fee Received,45,0,760,0,No
Admission Fee Challan Received,81,0,984,1,Yes
Application Fee Received,74,0,926,0,No
Challan Printed,80,80,985,0,No
Challan Printed,88,0,893,0,No
Application Fee Received,63,63,864,0,No
Application Fee Received,52,0,937,0,No
Application Fee Received,64,0,863,0,No
Application Fee Received,72,72,928,0,No
Application Fee Received,58,0,846,0,No
Application Fee Received,63,0,927,0,No
Application Fee Received,37,37,859,0,No
Application Fee Received,46,0,841,0,No
Application Fee Received,55,0,898,0,No
Application Fee Received,46,46,912,0,No
Application Fee Received,77,77,938,0,No
Application Fee Received,21,0,644,0,No
Application Fee Received,54,0,831,0,No
Challan Printed,72,72,922,0,No
Application Fee Received,57,0,651,0,No
Application Fee Received,73,0,911,0,No
Application Fee Received,62,62,995,0,No
Application Fee Received,55,0,841,0,No
Challan Printed,67,0,887,0,No
Application Fee Received,69,0,947,0,No
Application Fee Received,63,0,987,0,No
Application Fee Received,59,0,929,0,No
Application Fee Received,0,0,808,0,No
Application Fee Received,56,0,821,0,No
Application Fee Received,84,84,943,0,No
Application Fee Received,68,67,936,0,No
Application Fee Received,55,55,948,0,No
Application Fee Received,0,0,890,0,No
Challan Printed,54,0,840,0,No
Application Received,47,22,841,0,No
Application Fee Received,70,70,883,0,No
Application Fee Received,48,48,914,0,No
Challan Printed,52,0,863,0,No
Application Fee Received,45,0,755,0,No
Application Fee Received,55,0,971,0,No
Application Fee Received,58,58,903,0,No
Application Fee Received,71,71,924,0,No
Application Fee Received,56,56,924,0,No
Application Fee Received,34,34,885,0,No
Application Fee Received,75,75,939,0,No
Application Fee Received,81,81,942,0,No
Application Fee Received,0,0,0,0,No
Admission Fee Challan Received,83,83,958,1,Yes
Application Fee Received,69,69,924,0,No
Application Fee Received,53,0,864,0,No
Application Fee Received,52,0,908,0,No
Application Fee Received,86,86,957,0,No
Application Fee Received,53,0,557,0,No
Application Fee Received,0,0,696,0,No
Application Fee Received,59,53,893,0,No
Application Fee Received,0,0,770,0,No
Application Fee Received,71,71,957,0,No
Application Fee Received,53,50,929,0,No
Application Fee Received,75,75,931,0,No
Application Fee Received,57,0,795,0,No
Challan Printed,62,62,916,0,No
Application Fee Received,78,78,953,0,No
Application Fee Received,78,78,950,0,No
Application Fee Received,71,71,953,0,No
Application Fee Received,84,70,947,0,No
Application Fee Received,52,0,842,0,No
Application Fee Received,57,57,897,0,No
Application Fee Received,53,0,917,0,No
Application Fee Received,53,0,839,0,No
Application Fee Received,51,0,882,0,No
Challan Printed,54,0,777,0,No
Application Fee Received,77,77,913,0,No
Application Fee Received,65,0,974,0,No
Challan Printed,86,86,946,0,No
Challan Printed,58,0,925,0,No
Application Fee Received,57,0,824,0,No
Application Fee Received,45,0,823,0,No
Admission Fee Challan Received,84,84,992,1,Yes
Application Fee Received,59,0,936,0,No
Application Fee Received,41,0,885,0,No
Challan Printed,44,0,862,0,No
Application Fee Received,77,77,947,0,No
Application Fee Received,72,72,920,0,No
Application Fee Received,49,0,765,0,No
Application Fee Received,81,81,991,1,Yes
Application Fee Received,67,0,833,0,No
Application Fee Received,58,0,931,0,No
Application Fee Received,73,73,951,0,No
Application Fee Received,62,0,918,0,No
Application Fee Received,67,67,943,0,No
Application Received,69,0,866,0,No
Application Fee Received,68,0,951,0,No
Application Fee Received,57,0,763,0,No
Application Fee Received,42,42,895,0,No
Application Fee Received,42,0,776,0,No
Application Fee Received,63,0,935,0,No
Challan Printed,38,0,854,0,No
Application Fee Received,74,0,930,0,No
Challan Printed,69,69,986,0,No
Application Fee Received,41,38,870,0,No
Challan Printed,31,0,893,0,No
Application Received,67,67,954,0,No
Application Fee Received,52,0,956,0,No
Challan Printed,0,0,718,0,No
Challan Printed,72,72,943,0,No
Application Fee Received,50,0,795,0,No
Application Fee Received,52,0,780,0,No
Application Fee Received,37,0,803,0,No
Application Fee Received,70,70,911,0,No
Admission Fee Challan Received,50,50,916,1,No
Challan Printed,83,83,957,0,No
Application Fee Received,65,65,923,0,No
Challan Printed,0,0,881,0,No
Challan Printed,0,0,836,0,No
Application Received,0,0,850,0,No
Challan Printed,80,0,914,0,No
Application Fee Received,55,0,839,0,No
Application Fee Received,50,50,854,0,No
Application Fee Received,54,0,871,0,No
Application Fee Received,63,0,858,0,No
Application Fee Received,63,0,905,0,No
Application Fee Received,39,0,517,0,No
Application Fee Received,82,82,937,1,No
Application Fee Received,50,0,946,0,No
Application Fee Received,54,0,902,1,No
Application Fee Received,59,0,854,0,No
Challan Printed,79,79,976,0,No
Application Fee Received,50,0,879,0,No
Admission Fee Challan Received,50,0,824,1,No
Application Fee Received,50,50,895,0,No
Application Received,60,0,684,0,No
Application Fee Received,51,0,833,0,No
Challan Printed,34,0,858,0,No
Application Fee Received,0,0,719,0,No
Application Fee Received,74,74,912,0,No
Admission Fee Challan Received,0,0,890,1,No
