Application Status,Admission Test 2,ssc_obtained,Terminal Degree,Document Verified,English Marks,Offered
Application Fee Received,0,855,718,0,0,No
Challan Printed,0,904,862,0,158,No
Application Fee Received,0,758,764,0,104,No
Application Fee Received,0,874,909,0,154,No
Application Fee Received,0,834,667,0,143,No
Challan Printed,0,640,698,0,76,No
Challan Printed,0,785,751,0,176,No
Application Fee Received,42,843,895,0,142,No
Application Fee Received,0,624,561,0,106,No
Challan Printed,0,612,854,0,140,No
Application Received,0,630,670,0,100,No
Challan Printed,0,866,749,0,0,No
Application Fee Received,0,646,678,0,81,No
Application Received,0,846,791,0,162,No
Challan Printed,0,798,725,0,106,No
Application Fee Received,0,450,522,0,116,No
Challan Printed,16,928,920,0,145,No
Challan Printed,0,834,881,0,140,No
Application Fee Received,0,910,789,0,120,No
Challan Printed,0,811,820,0,100,No
Challan Printed,0,907,721,0,0,No
Admission Fee Challan Received,0,854,839,1,142,Yes
Application Fee Received,0,654,517,0,95,No
Challan Printed,0,640,697,0,113,No
Application Fee Received,0,744,622,0,97,No
Challan Printed,0,678,568,0,0,No
Challan Printed,0,972,902,0,147,No
Application Fee Received,0,728,591,0,152,No
Application Fee Received,0,805,662,0,101,No
Application Fee Received,0,768,645,0,51,No
Application Fee Received,0,787,817,0,147,No
Application Fee Received,0,645,709,0,135,No
Challan Printed,0,676,819,0,149,No
Application Fee Received,0,654,798,0,0,No
Admission Fee Challan Received,0,654,798,1,147,No
Application Fee Received,0,676,819,0,111,No
Application Fee Received,0,771,678,0,118,No
Application Fee Received,0,822,834,0,0,No
Application Fee Received,0,900,762,0,161,No
Application Fee Received,0,672,640,0,111,No
Application Fee Received,0,838,779,0,153,No
Application Fee Received,0,813,837,0,0,No
Application Fee Received,0,664,687,0,133,No
Application Received,0,559,732,0,0,No
Application Fee Received,0,626,749,0,149,No
Application Fee Received,0,725,729,0,142,No
Application Received,0,725,729,0,142,No
Application Fee Received,0,687,692,0,140,No
Admission Fee Challan Received,0,653,592,1,112,No
Application Fee Received,0,514,787,0,0,No
Application Fee Received,0,655,750,0,0,No
Challan Printed,0,904,862,0,0,No
Challan Printed,0,885,792,0,0,No
Challan Printed,86,896,946,0,0,No
