Application Status,Merit Score,Admission Test,Admission Test 2,particular_test_total2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,828,48,0,,861,780,No
Application Fee Received,855,55,0,,823,800,No
Application Fee Received,963,52,0,,945,911,No
Application Fee Received,821,56,0,,825,765,No
Application Fee Received,676,61,0,,769,615,No
Application Fee Received,944,66,0,0,840,883,No
Application Fee Received,805,45,0,0,866,760,No
Application Fee Received,938.222,47,0,,887,886,No
Application Fee Received,822,0,0,0,617,822,No
Application Fee Received,985.455,45,45,1100,896,920,No
Application Fee Received,915,63,0,,754,862,No
Admission Fee Challan Received,1028,80,0,,969,953,Yes
Application Fee Received,938,60,0,,880,878,No
Application Fee Received,819,51,0,,794,768,No
Admission Fee Challan Received,910,57,0,,840,853,No
Application Fee Received,983.909,55,55,1100,872,928,No
Application Fee Received,938,42,0,0,842,896,No
Application Fee Received,908,44,0,,899,864,No
Application Fee Received,1039.818,71,71,1100,869,968,Yes
Application Fee Received,990,54,0,,935,936,No
Application Fee Received,1057.909,70,70,1100,948,987,Yes
Application Fee Received,977,52,0,0,935,930,No
Application Fee Received,893,56,0,0,830,837,No
Application Fee Received,999.455,66,66,1100,944,938,No
Application Fee Received,959,66,66,1100,990,959,No
Application Fee Received,674,51,0,0,769,623,No
Application Fee Received,996.273,60,60,1100,908,936,No
Application Fee Received,652,47,0,0,727,605,No
Application Fee Received,1028,71,0,0,930,962,Yes
Application Fee Received,849,49,0,0,794,800,No
Application Fee Received,940,61,0,0,854,884,No
Admission Fee Challan Received,1037,63,0,,941,974,Yes
Application Fee Received,632,50,0,,688,582,No
Application Fee Received,910,0,0,0,954,910,No
Application Fee Received,1037,72,0,0,966,965,Yes
Application Fee Received,758,41,0,0,672,717,No
Application Fee Received,1003,69,0,0,754,934,No
Application Fee Received,921,0,0,0,956,921,No
Application Fee Received,846,53,0,,841,793,No
Application Fee Received,984.778,52,0,,943,927,No
Application Fee Received,872,60,0,,822,812,No
Application Fee Received,820,57,0,,738,763,No
Application Fee Received,891.545,47,47,1100,914,844,No
Application Fee Received,826,44,0,0,796,782,No
Application Fee Received,1012.273,52,52,1100,905,965,No
Application Fee Received,1019,63,0,,863,956,No
Application Fee Received,893,63,0,0,832,830,No
Application Fee Received,984,55,0,0,951,929,No
Admission Fee Challan Received,1055,65,0,,990,995,Yes
Application Fee Received,958.877,64,64,1100,840,899,No
Application Fee Received,938,60,0,,880,878,No
Application Fee Received,1002,52,0,,901,950,No
Application Fee Received,1035,63,0,,830,972,Yes
Application Fee Received,976.364,56,56,1100,824,920,No
Admission Fee Challan Printed,0,0,0,,496,782,No
Application Fee Received,936,54,0,,840,887,No
Application Fee Received,662,52,52,100,670,610,No
Admission Fee Challan Printed,0,46,0,,594,688,No
Application Fee Received,968,70,0,,892,898,No
Application Fee Received,1002,68,0,,951,944,No
Application Fee Received,837,45,0,,675,777,No
Application Fee Received,894,66,0,,964,838,No
Application Fee Received,1001,57,0,,871,929,No
Application Fee Received,805,49,0,0,795,761,No
Application Fee Received,850,50,0,,697,800,No
Application Fee Received,954,65,0,,719,894,No
Application Fee Received,912.455,60,60,1100,844,857,No
Application Fee Received,936,59,0,,858,882,No
Application Fee Received,970,64,0,,772,926,No
Application Fee Received,821,55,0,,835,766,No
Application Fee Received,833,72,0,,879,793,No
Application Fee Received,738,40,0,,807,698,No
Application Fee Received,703,0,0,0,756,703,No
Application Fee Received,1021.909,70,70,1100,854,951,No
Application Fee Received,842.545,15,15,1100,746,827,No
Application Fee Received,966,55,0,0,908,916,No
Application Fee Received,828,72,0,0,843,756,No
Application Fee Received,1052.636,73,73,1100,960,989,Yes
Application Fee Received,979,55,55,1100,874,924,No
Application Fee Received,910,0,0,1100,945,910,No
Application Fee Received,971,52,0,0,862,919,No
Application Fee Received,996,71,0,0,722,925,No
Application Fee Received,1018,59,0,,970,959,No
Application Fee Received,976.364,66,66,1100,911,910,No
Application Fee Received,930.667,51,0,,774,874,No
Application Fee Received,931,56,0,0,787,875,No
Application Fee Received,955,48,0,,641,907,No
Application Fee Received,857,44,0,0,719,813,No
Application Fee Received,856,52,0,,866,804,No
Application Fee Received,899,54,0,0,985,850,No
Application Fee Received,1002,68,0,,951,944,No
Application Fee Received,662,52,52,100,670,610,No
Application Fee Received,1025.273,77,77,1100,816,948,Yes
Application Fee Received,875,63,0,0,801,812,No
Application Fee Received,1001,57,0,,871,929,No
Application Fee Received,1068.818,73,73,1100,998,980,Yes
Application Fee Received,983,55,0,,946,928,No
Application Fee Received,805,54,0,,822,751,No
Application Fee Received,754,44,0,0,698,754,No
Application Fee Received,903,47,0,0,820,856,No
Application Fee Received,1016,64,0,0,957,952,No
Application Fee Received,855,48,0,0,873,807,No
Application Fee Received,931,56,0,0,885,875,No
Application Fee Received,982.889,80,0,0,852,894,No
Application Fee Received,782,40,0,,685,742,No
Application Fee Received,805,49,0,0,795,761,No
Application Fee Received,954,65,0,,719,894,No
Application Fee Received,1040.545,79,79,1100,937,961,Yes
Application Fee Received,1014.545,54,54,1100,869,960,No
Application Fee Received,1011,59,0,0,866,952,No
Application Fee Received,970,55,0,0,964,915,No
Application Fee Received,811.636,48,48,1100,846,763,No
Application Fee Received,1002,60,0,,953,957,No
Application Fee Received,1004.556,59,0,0,889,944,No
Application Fee Received,948,85,0,,850,868,No
Application Fee Received,951.556,50,0,0,858,896,No
Admission Fee Challan Received,964,66,0,0,959,964,Yes
Application Fee Received,921,59,0,,893,867,No
Application Fee Received,954,56,0,,832,903,No
Application Fee Received,915.111,92,0,,862,844,No
Admission Fee Challan Received,1053,71,0,1100,961,982,Yes
Application Fee Received,985,53,0,,922,932,No
Application Fee Received,934,0,0,0,956,934,No
Application Fee Received,842.119,39,0,,846,808,No
Application Fee Received,1036.333,66,0,1100,956,968,Yes
Application Fee Received,976,42,0,0,849,934,No
Application Fee Received,881,42,0,,862,839,No
Application Fee Received,927,51,0,,723,876,No
Application Fee Received,1016,40,0,0,847,976,No
Application Fee Received,871.792,36,0,,903,840,No
Application Fee Received,898,56,0,0,860,842,No
Application Fee Received,689,0,0,0,660,689,No
Application Fee Received,805,48,0,0,826,757,No
Application Fee Received,1026,77,77,1100,935,960,Yes
Application Fee Received,998,57,0,,973,946,No
Application Fee Received,970,64,0,,772,926,No
Application Fee Received,844,45,0,0,771,799,No
Application Fee Received,919,40,0,,853,879,No
Application Fee Received,758,52,0,,891,706,No
Application Fee Received,1039,82,0,,982,962,Yes
Application Fee Received,925,62,0,0,919,863,No
Application Fee Received,1003,58,0,0,993,945,No
Application Fee Received,853.739,51,0,0,760,753,No
Application Fee Received,925.111,55,0,0,945,864,No
Application Fee Received,1022.727,66,66,1100,957,961,No
Application Fee Received,971,75,0,,868,871,No
Application Fee Received,881,50,0,0,892,831,No
Application Fee Received,911,56,0,,875,855,No
Application Fee Received,945,51,0,0,901,894,No
Application Fee Received,894,0,0,0,865,894,No
Application Fee Received,943,53,0,,926,890,No
Application Fee Received,1015,74,0,,972,951,No
Application Fee Received,787.667,51,0,,678,731,No
Application Fee Received,720,43,0,0,731,677,No
Application Fee Received,975.818,76,76,1100,813,899,No
Application Fee Received,992,62,0,0,909,930,No
Application Fee Received,775,47,0,0,875,728,No
Admission Fee Challan Received,933,43,0,0,905,890,No
Application Fee Received,948,59,0,,731,889,No
Application Fee Received,1092.444,58,0,0,883,1028,Yes
Application Fee Received,1008,76,0,0,906,932,No
Application Fee Received,912.455,60,60,1100,844,857,No
Application Fee Received,728,0,0,0,636,728,No
Application Fee Received,897,52,0,,709,850,No
Application Fee Received,889,52,0,,878,842,No
Application Fee Received,957,63,0,0,956,962,No
Application Fee Received,829,59,0,0,857,770,No
Application Fee Received,1014,57,0,0,911,957,No
Application Fee Received,881.818,61,61,1100,754,825,No
Application Fee Received,922,42,0,,927,880,No
Application Fee Received,842,49,0,0,826,793,No
Application Fee Received,993,52,0,,885,941,No
Application Fee Received,875,50,0,0,877,825,No
Application Fee Received,799.198,39,0,,839,760,No
Application Fee Received,954.818,56,56,1100,785,898,No
Application Fee Received,973.909,50,50,1100,933,923,No
Application Fee Received,1019,79,0,0,958,945,No
Application Fee Received,729,58,0,0,796,671,No
Application Fee Received,908.909,40,40,1100,725,868,No
Application Fee Received,779,54,0,0,808,725,No
Application Fee Received,1038,55,0,0,943,983,Yes
Application Fee Received,958,61,0,,876,907,No
Application Fee Received,681,37,0,0,903,644,No
Application Fee Received,882,57,0,0,778,825,No
Application Fee Received,839,52,0,,840,767,No
Admission Fee Challan Received,1023,57,0,,998,976,No
Application Fee Received,821,56,0,,921,765,No
Application Fee Received,984,55,0,0,910,929,No
Admission Fee Challan Received,1045,57,0,0,755,988,Yes
Application Fee Received,958.333,66,0,0,898,885,No
Application Fee Received,999,51,0,,955,948,No
Application Fee Received,892,1,0,,925,897,No
Application Fee Received,914,50,0,,892,869,No
Application Fee Received,1005,58,0,,920,947,No
Application Fee Received,894,66,0,,964,838,No
Application Fee Received,911,47,0,0,842,864,No
Application Fee Received,906,52,0,0,869,854,No
Application Fee Received,919.455,42,42,1100,831,877,No
Application Fee Received,786,52,0,,837,739,No
Application Fee Received,1015,49,0,,934,966,No
Application Fee Received,951,60,0,0,947,891,No
Application Fee Received,951,62,0,0,881,889,No
Application Fee Received,957,52,0,,808,905,No
Application Fee Received,951,63,63,1100,940,896,No
Application Fee Received,1030.273,67,67,1100,924,968,No
Application Fee Received,786,0,0,0,907,786,No
Application Fee Received,917,59,0,,757,863,No
Application Fee Received,878,45,0,0,843,833,No
Application Fee Received,904.455,45,45,1100,811,859,No
Application Fee Received,902,0,0,1100,899,902,No
Application Fee Received,980,61,0,0,925,919,No
Application Fee Received,922,60,0,0,754,862,No
Application Fee Received,983.727,72,72,1100,958,911,No
Application Fee Received,854,51,0,0,829,803,No
Application Fee Received,968,55,0,,871,913,No
Application Fee Received,869,55,0,0,832,819,No
Application Fee Received,662,57,0,,790,605,No
Application Fee Received,949,55,0,0,770,894,No
Application Fee Received,974,61,0,0,848,913,No
Application Fee Received,944,51,0,0,911,893,No
Application Fee Received,749,52,0,0,697,697,No
Application Fee Received,920.556,41,0,0,909,875,No
Application Fee Received,991,42,0,0,877,949,No
Application Fee Received,886.091,59,59,1100,868,827,No
Application Fee Received,869,62,0,0,856,807,No
Application Fee Received,936,59,0,,858,882,No
Application Fee Received,823,52,0,,801,771,No
Application Fee Received,793,52,0,,793,741,No
Application Fee Received,846,51,0,0,858,795,No
Application Fee Received,967.727,54,54,1100,916,913,No
Application Fee Received,868,50,0,,759,818,No
Application Fee Received,757.444,40,0,,900,713,No
Application Fee Received,997.364,61,61,1100,939,941,No
Application Fee Received,883,56,0,0,877,827,No
Application Fee Received,916,42,0,0,817,874,No
Application Fee Received,917.364,62,62,1100,829,855,No
Application Fee Received,850,50,0,,697,800,No
Application Fee Received,793,0,0,0,803,793,No
Application Fee Received,1009.091,69,69,1100,888,940,No
Application Fee Received,936,54,0,,840,887,No
Application Fee Received,929,36,0,0,802,889,No
Application Fee Received,908,1,0,0,936,908,No
Application Fee Received,926,53,0,0,846,888,No
Application Fee Received,859,52,0,0,803,807,No
Application Fee Received,1033,79,0,0,935,954,Yes
Application Fee Received,833,60,0,0,821,773,No
Application Fee Received,956,54,0,,918,907,No
Application Fee Received,828,58,0,,861,775,No
Application Fee Received,859,54,0,,799,805,No
Application Fee Received,869,55,0,0,832,819,No
Application Fee Received,662,57,0,,790,605,No
Application Fee Received,828,38,0,0,728,790,No
Application Fee Received,838,60,0,0,776,783,No
Application Fee Received,1033,69,0,,893,969,Yes
Application Fee Received,888.091,64,64,1100,749,804,No
Application Fee Received,960,58,0,,745,902,No
Application Fee Received,895,56,0,0,900,839,No
Application Fee Received,778,0,0,0,917,778,No
Application Fee Received,778,0,0,0,917,778,No
Application Fee Received,824,50,0,,657,774,No
Application Fee Received,1005.36,55,0,,951,950,No
Application Fee Received,1013.545,72,72,1100,911,951,No
Application Fee Received,954.444,58,0,0,942,890,No
Application Fee Received,687,51,0,,612,641,No
Application Fee Received,1002.455,65,65,1100,848,937,No
Application Fee Received,919,59,0,,929,860,No
Application Fee Received,891,0,0,0,952,891,No
Admission Fee Challan Printed,1040,65,0,0,921,980,Yes
Application Fee Received,1007,56,0,0,926,956,No
Application Fee Received,923.04,72,0,,959,856,No
Application Fee Received,968,70,0,,892,898,No
Application Fee Received,902,54,0,,865,848,No
Application Fee Received,1014.545,54,54,1100,966,960,No
Application Fee Received,871,49,0,0,732,822,No
Application Fee Received,837,45,0,,675,777,No
Application Fee Received,896,51,0,0,885,845,No
Application Fee Received,782,40,0,,685,742,No
Application Fee Received,1040,80,80,100,1007,965,Yes
Application Fee Received,745,49,0,,827,696,No
Application Fee Received,941,66,0,,929,880,No
Application Fee Received,863.119,55,0,,572,808,No
Application Fee Received,940,50,50,1100,808,890,No
Application Fee Received,756,0,0,0,785,756,No
Application Fee Received,597,42,0,0,651,555,No
Application Fee Received,1023,64,0,,608,959,No
Application Fee Received,863.119,55,0,,572,808,No
Application Fee Received,906,51,0,0,745,865,No
Application Fee Received,994,61,0,,932,933,No
Application Fee Received,812,48,0,0,770,764,No
Application Fee Received,905.556,50,0,0,820,850,No
Application Fee Received,1002.727,47,47,1100,913,955,No
Application Fee Received,875,48,0,0,629,827,No
Application Fee Received,910,57,0,,904,853,No
Application Fee Received,988,50,0,,924,938,No
Application Fee Received,745,49,0,,827,696,No
Application Fee Received,739,52,0,0,726,687,No
Application Fee Received,895.364,50,50,1100,848,845,No
Application Fee Received,1040,80,80,100,1007,965,Yes
Application Fee Received,923,46,0,0,888,877,No
Application Fee Received,947.455,49,49,1100,835,898,No
Application Fee Received,890,43,0,0,923,847,No
Application Fee Received,708,25,0,,604,688,No
Application Fee Received,918,52,0,,725,866,No
Application Fee Received,985,0,0,0,862,985,No
Application Fee Received,896,54,0,0,923,842,No
Application Fee Received,916,59,0,,940,857,No
Application Fee Received,1033.455,65,65,1100,952,968,No
Application Fee Received,991,73,0,0,936,918,No
Application Fee Received,885,0,0,0,882,885,No
Application Fee Received,1012,70,0,0,913,947,No
Application Fee Received,936.167,71,59,120,774,877,No
Application Fee Received,694,57,0,0,735,637,No
Application Fee Received,926,44,0,0,895,882,No
Application Fee Received,815.364,36,36,1100,777,779,No
Application Fee Received,968.455,45,45,1100,925,923,No
Application Fee Received,917,59,0,0,858,858,No
Application Fee Received,979,61,0,,800,918,No
Application Fee Received,955,56,0,,761,899,No
Application Fee Received,904,0,0,0,844,904,No
Application Fee Received,1010,51,0,0,903,964,No
Application Fee Received,1044.889,71,0,0,922,971,Yes
Application Fee Received,1001,62,0,,889,944,No
Application Fee Received,915,0,0,0,942,915,No
Application Fee Received,965.455,45,45,1100,933,920,No
Admission Fee Challan Received,1038,76,0,,912,967,Yes
Application Fee Received,836,42,0,0,841,794,No
Application Fee Received,933.364,36,36,1100,861,897,No
Application Fee Received,886,41,0,,778,845,No
Application Fee Received,801,70,0,0,784,731,No
Application Fee Received,931.455,45,45,1100,844,886,No
Application Fee Received,941,50,50,1100,858,891,No
Application Fee Received,1004.727,57,57,1100,824,947,No
Application Fee Received,843.333,48,0,,929,790,No
Application Fee Received,966.778,70,0,0,870,889,No
Application Fee Received,947.111,64,0,0,861,866,No
Application Fee Received,805.307,61,0,,808,749,No
Application Fee Received,795,52,0,0,891,743,No
Application Fee Received,992.636,63,63,1100,937,929,No
Application Fee Received,834.636,51,0,0,968,830,No
Application Fee Received,946,55,0,0,847,891,No
Application Fee Received,866,57,0,,861,809,No
Application Fee Received,953,55,0,,866,898,No
Application Fee Received,847.111,28,0,,757,816,No
Application Fee Received,917,0,0,0,906,917,No
Application Fee Received,904,56,0,,798,853,No
Application Fee Received,834,54,0,,894,785,No
Application Fee Received,881,57,0,,823,824,No
Application Fee Received,937,56,0,0,855,881,No
Application Fee Received,1073.091,70,70,1100,924,1003,Yes
Application Fee Received,596,47,0,0,548,549,No
Application Fee Received,911.333,80,0,,789,858,No
Application Fee Received,835,0,0,0,889,835,No
Application Fee Received,831,57,0,0,820,774,No
Application Fee Received,704,56,0,,696,648,No
Application Fee Received,930,50,0,0,878,880,No
Application Fee Received,941,66,0,,929,880,No
Application Fee Received,1005,58,0,,927,952,No
