Application Status,Merit Score,nts_ok_flag,every_thing_ok_in_education,Admission Test,ssc_obtained,Terminal Degree,hsc_opt_1_obtained,hsc_opt_2_obtained,hsc_opt_4_obtained,hsc_opt_5_obtained,Offered
Application Fee Received,749,1,1,47,738,702,0,0,0,0,Yes
Application Fee Received,714,1,1,50,825,664,112,136,151,103,No
Application Fee Received,689,1,1,50,906,659,112,118,101,0,No
Application Fee Received,924.364,1,1,56,904,873,155,133,179,45,Yes
Application Fee Received,799,1,1,50,616,754,162,91,146,151,Yes
Application Fee Received,908,1,1,50,799,858,147,158,144,47,Yes
Application Fee Received,787,1,1,42,806,745,141,118,122,145,Yes
Application Fee Received,663,1,1,46,855,632,127,115,82,35,No
Application Fee Received,876,1,1,50,781,826,0,0,0,0,Yes
Application Fee Received,557,1,1,46,746,516,77,71,133,74,No
Application Fee Received,810,1,1,45,844,765,146,126,156,116,Yes
Application Fee Received,709,1,1,50,588,659,0,0,0,0,No
Application Fee Received,863,0,1,0,775,863,179,158,157,164,No
Application Fee Received,847,1,1,52,826,795,0,0,0,0,Yes
Application Fee Received,888,1,1,47,873,841,150,178,106,134,Yes
Application Fee Received,942.182,1,1,65,931,877,153,141,164,166,Yes
Application Fee Received,880.273,1,1,27,882,853,148,150,96,162,Yes
Application Fee Received,719,1,1,44,751,675,120,139,127,0,No
Application Fee Received,817,1,1,38,876,779,138,137,156,121,Yes
Application Fee Received,628,1,1,40,713,603,80,100,84,127,No
Application Fee Received,652,1,1,48,706,604,100,81,135,0,No
Application Fee Received,693,1,1,50,669,643,85,139,98,152,No
Application Fee Received,784,1,1,63,631,721,129,121,139,117,Yes
Application Fee Received,679,1,1,54,706,625,111,139,99,99,No
Application Fee Received,699,1,1,47,767,652,106,125,88,0,No
Application Fee Received,796,0,1,0,840,796,155,133,125,152,No
Application Fee Received,648,1,1,53,843,595,139,41,82,67,No
Application Fee Received,742,1,1,40,823,702,109,42,122,108,No
Application Fee Received,783,0,1,0,760,783,139,104,139,159,No
Application Fee Received,825,1,1,53,724,772,141,150,126,42,Yes
Application Fee Received,723,1,1,48,798,675,94,135,44,140,No
Application Fee Received,803,1,1,79,642,704,0,0,0,0,Yes
Application Fee Received,898,1,1,61,902,837,0,0,0,0,Yes
Application Fee Received,780,1,1,43,851,737,137,142,110,131,Yes
Application Fee Received,728,1,0,54,806,674,0,0,0,0,No
Application Fee Received,584,1,1,41,688,543,83,96,96,86,No
Application Fee Received,780,0,1,100,915,780,155,126,131,148,No
Application Fee Received,828,1,1,48,861,780,162,115,143,112,Yes
Application Fee Received,681,1,1,50,686,631,129,132,93,93,No
Admission Fee Challan Received,750,1,1,51,875,699,144,120,141,124,Yes
Application Fee Received,769,1,1,47,689,722,111,140,130,0,Yes
Application Fee Received,822,0,1,0,617,822,151,119,166,144,No
Application Fee Received,946,1,1,54,885,892,150,158,174,168,Yes
Application Fee Received,915,1,1,77,935,843,132,160,138,153,Yes
Application Fee Received,539,0,1,0,586,539,150,84,83,79,No
Application Fee Received,731,1,1,59,667,672,155,0,0,93,No
Application Fee Received,709,1,1,42,714,667,136,104,102,0,No
Application Fee Received,554,1,1,50,731,504,64,0,0,0,No
Application Fee Received,643,1,1,50,834,593,83,139,122,84,No
Application Fee Received,889,1,1,49,747,825,145,138,155,151,Yes
Application Fee Received,625,1,1,42,627,563,90,0,0,96,No
Application Fee Received,908,1,1,44,899,864,156,176,143,158,Yes
Application Fee Received,731,1,1,44,727,687,144,40,127,104,No
Application Fee Received,784,1,1,51,814,733,146,126,136,104,Yes
Application Fee Received,619,1,1,52,676,567,121,40,87,92,No
Application Fee Received,656,1,1,26,627,630,129,103,91,94,No
Application Fee Received,674,1,1,51,769,623,107,82,119,140,No
Application Fee Received,756,1,1,45,745,711,0,0,0,0,Yes
Application Fee Received,856,1,1,56,777,800,130,80,45,150,Yes
Application Fee Received,646,1,1,47,749,599,124,108,95,99,No
Application Fee Received,955.091,1,1,41,841,914,0,0,0,0,Yes
Application Fee Received,652,1,1,47,727,605,148,86,82,117,No
Application Fee Received,767,0,1,0,846,767,156,136,106,44,No
Application Fee Received,725,0,1,0,844,725,145,141,118,113,No
Application Fee Received,713,1,1,43,639,670,124,110,133,0,No
Application Fee Received,686,1,1,60,812,626,112,107,105,39,No
Application Fee Received,758,1,1,41,672,717,152,118,126,0,Yes
Application Fee Received,837,1,1,56,855,781,151,147,122,0,Yes
Application Fee Received,609,1,1,53,838,556,141,81,90,0,No
Application Fee Received,837,1,1,53,809,784,0,0,0,0,Yes
Application Fee Received,831,1,1,46,697,785,126,150,143,127,Yes
Application Fee Received,794.636,1,1,43,859,751,134,122,150,126,Yes
Application Fee Received,821,1,1,50,623,751,157,135,150,83,Yes
Application Fee Received,572,1,1,40,574,532,116,123,25,0,No
Application Fee Received,800,1,1,36,853,764,0,0,0,0,Yes
Application Fee Received,766,1,1,40,837,706,147,113,131,112,Yes
Application Fee Received,811,1,1,26,759,790,160,135,163,101,Yes
Application Fee Received,705,1,1,60,721,645,125,0,0,100,No
Application Fee Received,864,1,1,51,916,813,158,141,152,118,Yes
Application Fee Received,853,1,1,54,780,799,162,147,128,43,Yes
Application Fee Received,597,1,1,60,616,537,0,0,0,0,No
Application Fee Received,543,1,1,43,514,505,70,98,91,0,No
Application Fee Received,821,1,1,50,789,771,150,131,128,150,Yes
Application Fee Received,678,1,1,27,779,651,80,114,142,135,No
Application Fee Received,903,1,1,54,910,859,143,150,174,153,Yes
Application Fee Received,711,1,1,47,759,664,111,138,111,0,No
Application Fee Received,842.545,1,1,15,746,827,146,150,148,0,Yes
Application Fee Received,645,1,1,56,593,589,89,109,83,128,No
Application Fee Received,831,1,1,56,879,775,126,128,164,129,Yes
Application Fee Received,659,1,1,41,689,618,107,120,118,0,No
Application Fee Received,883,1,1,55,901,828,140,161,138,165,Yes
Application Fee Received,710,1,1,51,697,664,101,104,123,48,No
Application Fee Received,849,1,1,1,909,848,143,155,139,143,Yes
Application Fee Received,926.273,1,1,37,897,889,155,164,144,179,Yes
Application Fee Received,662,1,1,52,670,610,124,112,108,44,No
Application Fee Received,648,1,1,47,651,601,86,123,102,105,No
Application Fee Received,672,1,1,50,821,622,134,115,93,0,No
Application Fee Received,984.636,1,1,63,803,921,172,161,167,159,Yes
Application Fee Received,519,1,0,51,555,468,81,75,74,0,No
Application Fee Received,621,1,1,47,683,574,122,122,82,85,No
Application Fee Received,530,1,1,44,805,501,82,109,81,58,No
Application Fee Received,732,1,1,28,671,704,121,138,93,133,No
Application Fee Received,737.317,1,0,54,620,688,78,38,55,51,No
Application Fee Received,962,1,1,54,864,908,178,153,168,145,Yes
Application Fee Received,938,1,1,51,937,887,145,159,164,163,Yes
Application Fee Received,642,1,1,30,770,592,148,87,77,83,No
Application Fee Received,840,1,1,52,699,788,142,145,124,132,Yes
Application Fee Received,842.119,1,0,39,846,808,0,0,0,0,No
Application Fee Received,698,1,1,41,830,657,104,126,96,143,No
Application Fee Received,718,1,1,44,706,674,132,130,127,90,No
Application Fee Received,868.522,1,1,49,759,824,0,0,0,0,Yes
Application Fee Received,734,1,1,52,861,682,118,125,30,123,Yes
Application Fee Received,871,1,1,51,897,820,144,148,148,140,Yes
Application Fee Received,652.182,1,1,12,805,640,130,82,136,85,No
Application Fee Received,754,1,1,38,721,716,145,137,127,28,No
Application Fee Received,707,0,1,40,752,707,109,127,134,120,No
Application Fee Received,850,1,1,46,742,804,126,142,159,151,Yes
Application Fee Received,758,1,1,52,891,706,133,128,134,102,Yes
Application Fee Received,807,1,1,59,826,748,147,138,124,0,Yes
Application Fee Received,561,1,1,45,654,521,0,0,0,0,No
Application Fee Received,919,1,1,55,945,864,162,176,159,143,Yes
Application Fee Received,575,1,1,40,641,535,74,68,135,0,No
Application Fee Received,661,1,1,49,753,592,0,0,0,0,No
Application Fee Received,946,1,1,51,830,895,162,156,161,158,Yes
Application Fee Received,560,1,1,41,607,524,124,101,81,80,No
Application Fee Received,756,1,1,48,822,688,129,108,99,47,No
Application Fee Received,606,1,1,51,698,560,99,126,85,89,No
Application Fee Received,647,0,1,0,749,652,0,0,0,0,No
Application Fee Received,653,1,1,42,768,611,93,121,117,122,No
Application Fee Received,595,1,1,45,847,555,0,0,0,0,No
Application Fee Received,862,1,1,60,855,807,0,0,0,0,Yes
Application Fee Received,664,1,1,47,771,617,107,109,117,126,No
Application Fee Received,875,1,1,50,877,825,151,138,152,131,Yes
Application Fee Received,589,1,1,42,730,552,93,100,44,82,No
Application Fee Received,1017.273,1,1,57,843,960,0,0,0,0,Yes
Application Fee Received,908.909,1,1,40,725,868,142,157,175,44,Yes
Application Fee Received,681,1,1,37,903,644,137,126,112,91,No
Application Fee Received,543.654,0,0,0,525,543,36,51,45,42,No
Application Fee Received,840,1,1,50,727,790,0,0,0,0,Yes
Application Fee Received,738,0,1,0,767,738,97,151,131,0,No
Application Fee Received,872,1,1,51,714,821,145,170,147,136,Yes
Application Fee Received,845,1,1,55,868,790,159,148,129,123,Yes
Application Fee Received,834,1,1,52,607,782,130,44,148,150,Yes
Application Fee Received,752,1,1,43,847,689,123,111,152,98,No
Application Fee Received,735,1,1,42,651,693,0,0,0,0,Yes
Application Fee Received,641,1,1,44,504,597,121,35,106,78,No
Application Fee Received,709,1,1,49,842,660,148,115,92,82,No
Application Fee Received,1025,1,1,74,787,931,154,170,169,46,Yes
Application Fee Received,807,1,1,59,826,748,147,138,124,0,Yes
Application Fee Received,606,1,1,51,698,560,99,126,85,89,No
Admission Fee Challan Received,886,1,1,48,826,838,127,168,166,0,Yes
Admission Fee Challan Received,788,1,1,45,782,743,144,127,173,36,Yes
Admission Fee Challan Received,781,1,1,52,649,729,142,143,115,139,Yes
Admission Fee Challan Received,882,1,1,62,919,820,120,151,160,154,Yes
Admission Fee Challan Received,728,1,1,43,839,685,141,107,125,118,Yes
Admission Fee Challan Received,822,1,1,44,813,783,136,150,126,122,Yes
Admission Fee Challan Received,726,1,1,45,644,681,0,0,0,0,No
Admission Fee Challan Printed,878,1,1,48,840,830,157,165,41,41,Yes
Admission Fee Challan Received,826,1,1,52,768,774,153,137,153,114,Yes
Admission Fee Challan Received,939,1,1,64,638,875,155,140,131,176,Yes
Admission Fee Challan Received,0,1,1,47,898,738,141,114,160,110,Yes
Admission Fee Challan Received,783,1,1,63,721,720,157,68,127,136,Yes
Admission Fee Challan Received,813,1,1,52,830,761,151,152,107,44,Yes
Admission Fee Challan Received,865,1,1,57,834,808,130,164,141,141,Yes
Admission Fee Challan Received,794,1,1,52,802,742,157,88,142,46,Yes
Admission Fee Challan Received,724,1,1,47,523,677,135,140,114,109,No
Admission Fee Challan Received,768,1,1,58,721,715,128,152,115,0,No
Admission Fee Challan Received,868,1,1,56,794,812,141,155,149,43,Yes
Admission Fee Challan Received,814,1,1,74,875,740,137,144,125,108,Yes
Admission Fee Challan Received,955,1,1,56,903,899,165,168,136,182,Yes
Admission Fee Challan Received,801,1,1,47,873,754,126,132,123,44,Yes
Admission Fee Challan Received,803,1,1,47,874,758,116,147,140,139,Yes
Admission Fee Challan Received,822,1,1,63,861,759,0,0,0,0,Yes
Admission Fee Challan Received,1051,1,1,68,896,983,177,178,157,189,Yes
Admission Fee Challan Received,786,1,1,54,664,732,133,108,160,127,Yes
Admission Fee Challan Received,893,1,1,63,832,830,0,0,0,0,Yes
Admission Fee Challan Received,831,1,1,57,940,779,141,144,144,132,Yes
Admission Fee Challan Received,828,1,1,72,843,756,120,156,138,105,Yes
Admission Fee Challan Received,773,1,1,46,798,727,132,141,153,36,Yes
Admission Fee Challan Received,827,1,1,57,841,770,0,0,0,0,Yes
Admission Fee Challan Received,840,1,1,56,878,784,141,47,133,161,Yes
Admission Fee Challan Received,855,1,1,48,873,807,144,134,150,139,Yes
Admission Fee Challan Received,935,1,1,52,942,888,150,168,172,0,Yes
Admission Fee Challan Received,798,1,1,55,743,723,122,136,107,141,Yes
Admission Fee Challan Received,971.556,1,1,50,928,916,168,171,147,163,Yes
Admission Fee Challan Received,778,1,1,57,802,721,160,124,117,36,Yes
Admission Fee Challan Received,771,1,1,51,788,720,117,129,118,0,Yes
Admission Fee Challan Received,881,1,1,50,800,831,150,156,138,139,Yes
Admission Fee Challan Received,964,1,1,54,805,910,167,177,46,180,Yes
Admission Fee Challan Received,0,1,1,52,734,727,142,0,0,45,Yes
Admission Fee Challan Received,745,1,1,43,868,702,143,130,132,107,Yes
Admission Fee Challan Received,742,1,1,46,662,676,123,110,106,115,Yes
Admission Fee Challan Received,897,1,1,55,917,847,157,158,139,47,Yes
Admission Fee Challan Received,763,1,1,51,903,712,138,41,130,103,Yes
Admission Fee Challan Received,844,1,1,45,771,799,0,0,0,0,Yes
Admission Fee Challan Received,0,1,1,47,721,711,144,140,119,127,Yes
Admission Fee Challan Received,988,1,1,54,876,934,176,47,0,0,Yes
Admission Fee Challan Received,729,1,1,41,696,688,97,135,129,111,Yes
Admission Fee Challan Received,882,1,1,54,829,828,126,164,150,44,Yes
Admission Fee Challan Received,789,1,1,59,821,730,125,158,119,104,Yes
Admission Fee Challan Received,992,1,1,62,909,930,167,176,166,175,Yes
Admission Fee Challan Received,775,1,1,47,875,728,130,122,126,0,Yes
Admission Fee Challan Received,734,1,1,54,744,680,113,115,137,0,Yes
Admission Fee Challan Received,730,1,1,46,776,684,115,135,122,148,Yes
Application Fee Received,863.119,1,0,55,572,808,70,55,62,45,No
Application Fee Received,917,1,1,51,748,871,165,164,141,45,Yes
Application Fee Received,697,0,1,0,742,702,123,133,154,122,No
Application Fee Received,685,1,1,47,713,643,86,116,122,46,No
Application Fee Received,956,1,1,54,918,907,168,154,0,0,Yes
Admission Fee Challan Received,771,1,1,50,810,726,118,132,146,102,Yes
Application Fee Received,791,1,1,40,760,756,125,120,147,152,Yes
Application Fee Received,662,1,1,57,790,605,0,0,0,0,No
Application Fee Received,999,1,1,51,955,948,179,185,43,183,Yes
Application Fee Received,795,1,1,47,807,748,0,0,0,0,Yes
Application Fee Received,620,1,1,43,570,577,86,125,109,82,No
Application Fee Received,852,1,1,36,837,816,0,0,0,0,Yes
Application Fee Received,925.577,1,0,15,914,890,0,0,0,0,No
Application Fee Received,678,1,1,51,892,627,132,113,78,0,No
Application Fee Received,1025,1,1,58,994,967,154,181,182,46,Yes
Application Fee Received,718,1,1,44,651,654,0,0,0,0,No
Application Fee Received,742,0,1,0,657,747,147,128,129,133,No
Application Fee Received,700,1,1,49,568,651,131,120,128,105,No
Application Fee Received,922,1,1,65,882,857,185,162,153,125,Yes
Application Fee Received,795,1,1,58,858,737,0,0,0,0,Yes
Application Fee Received,778,1,1,30,754,748,148,147,112,48,Yes
Application Fee Received,951,1,1,62,881,889,165,149,168,155,Yes
Application Fee Received,786,0,1,0,907,786,155,130,30,121,No
Application Fee Received,553,0,1,0,663,553,110,33,88,95,No
Application Fee Received,838,1,1,41,796,797,126,155,141,140,Yes
Application Fee Received,650,1,1,25,597,625,0,0,0,0,No
Application Fee Received,712,1,1,50,743,662,97,132,128,37,No
Application Fee Received,917,1,1,51,748,871,165,164,141,45,Yes
Application Fee Received,679,1,1,44,620,635,131,99,77,114,No
Application Fee Received,991,1,1,42,877,949,180,172,42,165,Yes
Application Fee Received,791,1,1,40,760,756,125,120,147,152,Yes
Application Fee Received,868,1,1,50,759,818,149,136,169,41,Yes
Application Fee Received,630,1,1,42,539,588,109,104,90,100,No
Application Fee Received,605,1,1,44,821,561,122,103,99,63,No
Application Fee Received,768,1,1,62,820,706,144,106,0,0,Yes
Application Fee Received,572.871,0,0,0,673,572,70,69,33,19,No
Application Fee Received,765,1,1,57,851,708,132,111,147,112,Yes
Application Fee Received,671,1,1,58,749,618,120,124,83,132,No
Application Fee Received,537,1,0,54,541,483,70,100,82,0,No
Application Fee Received,925,1,1,36,802,889,143,165,178,155,Yes
Application Fee Received,1013,1,1,55,952,958,170,170,179,48,Yes
Application Fee Received,514,1,0,35,546,479,61,97,95,0,No
Application Fee Received,926,1,1,53,846,888,149,47,174,171,Yes
Application Fee Received,687,1,1,43,636,644,101,142,113,70,No
Application Fee Received,859,1,1,52,803,807,165,144,127,149,Yes
Application Fee Received,747,0,1,0,745,747,115,138,143,138,No
Application Fee Received,602,1,1,40,715,562,83,91,142,79,No
Application Fee Received,956,1,1,54,918,907,168,154,0,0,Yes
Application Fee Received,828,1,1,58,861,775,136,158,0,0,Yes
Application Fee Received,827.833,1,1,55,718,782,135,139,132,141,Yes
Application Fee Received,559,1,1,30,536,534,97,112,123,56,No
Application Fee Received,662,1,1,57,790,605,0,0,0,0,No
Application Fee Received,705,0,1,0,672,705,95,134,146,139,No
Application Fee Received,793,1,1,47,848,746,160,114,120,0,Yes
Application Fee Received,729,0,1,0,802,729,141,102,133,155,No
Application Fee Received,651,0,1,0,641,651,128,41,108,123,No
Application Fee Received,774,0,1,0,920,774,130,141,145,122,No
Application Fee Received,920,0,1,0,868,920,164,161,178,160,No
Application Fee Received,714,1,1,53,718,666,94,140,119,30,No
Application Fee Received,789,1,1,41,839,748,152,119,123,120,Yes
Application Fee Received,720,1,1,46,649,674,148,142,123,90,No
Application Fee Received,1013.545,1,1,72,911,951,153,159,189,172,Yes
Application Fee Received,579,1,1,40,627,519,142,80,68,82,No
Application Fee Received,934,1,1,70,917,864,0,0,0,0,Yes
Application Fee Received,646,1,1,42,734,604,100,43,104,39,No
Application Fee Received,791,1,1,54,700,737,137,152,107,125,Yes
Application Fee Received,590,1,1,46,579,544,77,76,116,103,No
Application Fee Received,685,1,1,47,713,643,86,116,122,46,No
Application Fee Received,639,1,1,47,697,592,112,101,119,90,No
Application Fee Received,778,1,1,58,713,720,125,111,118,85,Yes
Application Fee Received,570,1,1,48,685,527,112,72,109,93,No
Application Fee Received,619,1,1,59,686,565,115,73,84,0,No
Application Fee Received,969,1,1,52,941,922,153,165,172,172,Yes
Application Fee Received,863.119,1,0,55,572,808,70,55,62,45,No
Application Fee Received,601,1,1,44,641,557,103,90,98,99,No
Application Fee Received,924,1,1,55,847,869,146,146,142,181,Yes
Application Fee Received,701,1,0,60,868,646,62,81,41,63,No
Application Fee Received,594,1,0,53,557,546,63,71,28,50,No
Application Fee Received,709,1,1,45,679,664,98,91,128,0,No
Application Fee Received,777,1,1,53,715,724,122,154,131,103,Yes
Application Fee Received,551,1,1,38,758,513,0,0,0,0,No
Application Fee Received,972.545,1,1,54,946,918,159,157,173,172,Yes
Application Fee Received,918,1,1,52,725,866,153,149,162,148,Yes
Application Fee Received,713,1,1,42,717,671,110,126,110,123,No
Application Fee Received,866,1,1,70,887,796,157,148,127,90,Yes
Application Fee Received,713,1,1,44,649,679,144,108,136,75,No
Application Fee Received,682,1,1,55,667,627,93,113,107,0,No
Application Fee Received,967,0,1,0,981,967,180,175,162,180,No
Application Fee Received,703,1,1,51,735,657,144,119,99,40,No
Application Fee Received,617,1,1,46,673,571,120,89,79,107,No
Application Fee Received,815.364,1,1,36,777,779,0,0,0,0,Yes
Application Fee Received,697,0,1,0,742,702,123,133,154,122,No
Application Fee Received,638,1,1,50,885,588,111,82,95,150,No
Application Fee Received,567,1,1,22,582,545,0,0,0,0,No
Application Fee Received,811,1,1,46,828,770,141,132,129,152,Yes
Application Fee Received,818,1,1,52,817,766,141,157,126,140,Yes
Application Fee Received,685,1,1,36,563,649,113,93,138,43,No
Application Fee Received,602,1,1,54,649,548,127,85,74,0,No
Application Fee Received,653,1,1,40,553,613,114,114,88,132,No
Application Fee Received,901,0,1,0,928,901,0,0,0,0,No
Application Fee Received,698,1,1,57,704,641,76,135,34,0,No
Application Fee Received,861,1,1,49,922,812,143,139,141,168,Yes
Application Fee Received,828,1,1,50,806,778,143,117,123,145,Yes
Application Fee Received,493,1,0,57,517,441,0,0,0,0,No
Application Fee Received,790,1,1,48,789,747,128,164,104,45,Yes
Application Fee Received,724,1,1,54,777,670,136,45,129,90,No
Application Fee Received,729,1,1,41,824,688,119,143,128,43,Yes
Application Fee Received,731,1,1,45,734,686,122,147,87,157,No
Application Fee Received,953,1,1,55,866,898,148,46,162,174,Yes
Application Fee Received,727.667,1,1,49,706,663,86,102,153,40,Yes
Application Fee Received,926,1,1,59,912,867,152,146,169,156,Yes
Application Fee Received,712,1,1,52,806,660,122,135,133,85,No
Application Fee Received,643,1,1,42,547,601,90,107,128,96,No
Application Fee Received,947.313,1,0,41,954,910,71,0,0,0,No
Application Fee Received,900,1,1,50,787,850,130,170,157,164,Yes
Application Fee Received,858,1,1,46,899,817,125,49,160,137,Yes
Application Fee Received,670,0,1,0,622,670,122,0,0,0,No
Application Fee Received,831,1,1,57,820,774,143,134,156,125,Yes
Application Fee Received,704,1,1,56,696,648,127,128,90,106,No
Application Fee Received,694,1,1,22,634,672,111,87,116,94,No
Application Fee Received,1016.636,1,1,44,867,972,177,195,146,172,Yes
Application Fee Received,660,1,1,50,714,610,107,121,104,97,No
Application Fee Received,879,1,1,51,947,828,179,127,145,0,Yes
Application Fee Received,674,1,1,51,809,623,0,0,0,0,No
Admission Fee Challan Received,969,1,1,54,897,915,153,178,170,177,Yes
Admission Fee Challan Received,906,1,1,52,869,854,164,132,142,173,Yes
Admission Fee Challan Received,868,1,1,46,652,822,162,0,0,161,Yes
Admission Fee Challan Received,818,1,1,60,645,758,0,0,0,0,Yes
Admission Fee Challan Received,878,1,1,45,843,833,146,159,143,157,Yes
Admission Fee Challan Received,833,1,1,63,893,775,148,134,144,137,Yes
Admission Fee Challan Received,724,1,1,55,717,669,121,128,127,96,No
Admission Fee Challan Received,772,1,1,57,702,695,103,138,124,117,Yes
Admission Fee Challan Received,883,1,1,56,877,827,160,163,0,0,Yes
Admission Fee Challan Received,888,1,1,50,704,818,140,159,129,92,Yes
Admission Fee Challan Received,806,1,1,51,816,755,122,129,156,134,Yes
Admission Fee Challan Received,761,1,1,48,866,718,118,161,139,113,Yes
Admission Fee Challan Received,780,1,1,53,818,727,149,113,134,113,Yes
Admission Fee Challan Received,897,1,1,48,701,849,148,138,164,162,Yes
Admission Fee Challan Received,889,1,1,58,721,831,157,122,141,176,Yes
Admission Fee Challan Received,741,1,1,70,872,671,0,0,0,0,Yes
Admission Fee Challan Received,824,1,1,50,657,774,122,131,151,154,Yes
Admission Fee Challan Received,784,1,1,50,589,734,109,118,149,103,Yes
Admission Fee Challan Received,862,1,1,51,667,762,132,126,143,0,Yes
Admission Fee Challan Received,732,1,1,45,756,687,120,98,109,0,Yes
Admission Fee Challan Received,880,1,1,46,756,834,151,145,168,126,Yes
Admission Fee Challan Received,835,1,1,53,840,782,141,133,160,128,Yes
Admission Fee Challan Received,864,1,1,45,841,819,148,124,149,142,Yes
Admission Fee Challan Received,818,1,1,56,890,767,126,89,40,156,Yes
Admission Fee Challan Printed,0,,,70,892,898,140,179,164,160,No
Admission Fee Challan Printed,916,1,1,61,942,860,169,135,172,139,Yes
Admission Fee Challan Received,764,1,1,50,646,714,0,0,0,0,Yes
Admission Fee Challan Received,994,1,1,61,932,933,166,172,184,0,Yes
Admission Fee Challan Received,877,1,1,56,900,821,163,146,46,147,Yes
Admission Fee Challan Received,0,1,1,50,677,663,109,101,134,125,Yes
Admission Fee Challan Received,773,1,1,59,915,714,139,154,119,108,Yes
Admission Fee Challan Received,734,1,1,57,696,677,125,83,136,135,Yes
Admission Fee Challan Received,836,1,1,42,841,794,125,160,159,124,Yes
Admission Fee Challan Received,795,1,1,52,891,743,128,141,138,126,Yes
Admission Fee Challan Received,961,1,1,58,856,903,135,160,168,173,Yes
Admission Fee Challan Received,783,1,1,51,686,732,131,104,127,155,Yes
Admission Fee Challan Received,1009.889,1,1,62,961,941,156,179,172,164,Yes
Admission Fee Challan Received,720,1,1,43,791,677,0,0,0,0,No
