Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 5,Offered
Application Fee Received,12,916,791,64,No
Application Fee Received,60,819,694,37,No
Application Fee Received,47,683,574,85,No
Application Fee Received,70,865,765,54,No
Application Fee Received,49,820,728,148,No
Application Fee Received,58,882,809,164,No
Application Fee Received,54,743,701,0,No
Application Fee Received,55,667,782,0,No
Application Fee Received,55,799,850,179,No
Application Fee Received,61,591,800,67,No
Application Fee Received,49,783,781,0,No
Admission Fee Challan Received,51,903,887,0,Yes
Application Fee Received,54,726,712,0,No
Application Fee Received,50,761,686,0,No
Application Fee Received,39,921,787,0,No
Application Fee Received,53,922,932,0,Yes
Application Fee Received,54,835,806,64,No
Admission Fee Challan Received,44,802,619,75,No
Application Fee Received,55,679,678,103,No
Application Fee Received,68,933,823,41,Yes
Application Fee Received,55,748,765,0,No
Application Fee Received,59,867,800,163,No
Application Fee Received,50,645,827,169,No
Application Fee Received,40,588,832,0,No
Application Fee Received,42,834,883,167,No
Application Fee Received,46,827,853,0,No
Application Fee Received,53,909,906,158,Yes
Application Fee Received,49,665,594,82,No
Application Fee Received,43,725,768,0,No
Application Fee Received,57,731,695,0,No
Application Fee Received,57,700,739,43,No
Application Fee Received,46,645,741,0,No
Application Fee Received,51,903,712,103,No
Application Fee Received,48,788,644,40,No
Application Fee Received,42,714,772,139,No
Application Fee Received,59,752,823,0,No
Application Fee Received,57,865,612,0,No
Application Fee Received,4,850,819,158,No
Application Fee Received,0,628,760,154,No
Application Fee Received,50,708,577,0,No
Application Fee Received,49,629,587,85,No
Application Fee Received,50,725,867,0,No
Application Fee Received,45,518,672,139,No
Application Fee Received,50,783,847,140,No
Application Fee Received,54,655,718,0,No
Admission Fee Challan Received,53,926,890,160,Yes
Application Fee Received,55,827,714,139,No
Application Fee Received,39,659,512,61,No
Admission Fee Challan Received,56,748,855,0,Yes
Application Fee Received,44,798,716,0,No
Application Fee Received,59,872,840,0,No
Application Fee Received,56,867,848,194,No
Application Fee Received,64,893,1001,175,Yes
Application Fee Received,48,655,701,141,No
Application Fee Received,58,775,731,168,No
Application Fee Received,44,904,843,164,No
Application Fee Received,56,914,852,137,No
Application Fee Received,41,902,588,92,No
Application Fee Received,47,771,617,126,No
Application Fee Received,51,659,590,0,No
Application Fee Received,49,732,625,30,No
Application Fee Received,47,613,741,136,No
Application Fee Received,42,508,724,0,No
Application Fee Received,52,725,572,64,No
Application Fee Received,50,581,643,135,No
Application Fee Received,45,900,852,0,No
Application Fee Received,44,637,543,0,No
Application Fee Received,30,777,679,122,No
Application Fee Received,50,790,831,166,No
Application Fee Received,53,784,633,52,No
Application Fee Received,57,840,810,151,No
Application Fee Received,52,755,697,138,No
Application Fee Received,54,740,824,45,No
Admission Fee Challan Received,68,895,974,164,Yes
Application Fee Received,50,614,834,178,No
Application Fee Received,42,651,693,0,No
Application Fee Received,53,909,906,158,Yes
Application Fee Received,49,665,594,82,No
Application Fee Received,46,776,684,148,No
Application Fee Received,50,655,661,0,No
Application Fee Received,43,612,718,0,No
Application Fee Received,47,807,748,0,No
Application Fee Received,50,590,680,120,No
Application Fee Received,49,571,853,64,No
Application Fee Received,51,892,627,0,No
Application Fee Received,46,526,781,120,No
Application Fee Received,58,836,777,0,No
Admission Fee Challan Received,50,825,886,0,Yes
Application Fee Received,63,845,682,137,No
Application Fee Received,70,924,866,163,Yes
Application Fee Received,52,553,754,0,No
Application Fee Received,62,793,753,144,No
Application Fee Received,53,672,585,62,No
Application Fee Received,53,721,738,117,No
Admission Fee Challan Received,62,929,942,0,Yes
Application Fee Received,49,566,752,144,No
Application Fee Received,44,729,725,102,No
Application Fee Received,40,753,542,23,No
Application Fee Received,64,808,856,158,Yes
Application Fee Received,52,670,610,44,No
Application Fee Received,50,672,756,0,No
Application Fee Received,63,869,823,126,No
Application Fee Received,59,836,791,45,No
Application Fee Received,0,860,711,94,No
Application Fee Received,50,743,662,37,No
Application Fee Received,55,796,801,43,No
Application Fee Received,73,720,536,0,No
Application Fee Received,18,843,767,144,No
Application Fee Received,42,733,679,0,No
Application Fee Received,51,892,627,0,No
Application Fee Received,51,649,659,140,No
Application Fee Received,47,897,854,0,No
Admission Fee Challan Printed,70,933,950,0,Yes
Application Fee Received,52,729,778,0,No
Application Fee Received,64,789,796,168,No
Application Fee Received,67,660,825,150,No
Application Fee Received,76,851,804,0,No
Application Fee Received,30,588,792,0,No
Application Fee Received,49,811,797,111,No
Application Fee Received,54,626,776,0,No
Application Fee Received,50,807,724,0,No
Application Fee Received,54,898,733,81,No
Application Fee Received,40,700,680,116,No
Application Fee Received,44,801,780,122,No
Application Fee Received,66,846,922,40,Yes
Application Fee Received,49,742,619,73,No
Application Fee Received,51,570,703,170,No
Application Fee Received,45,726,670,108,No
Application Fee Received,53,840,723,106,No
Application Fee Received,45,788,693,0,No
Application Fee Received,48,665,556,0,No
Admission Fee Challan Received,48,691,879,79,Yes
Application Fee Received,61,716,726,44,No
Application Fee Received,69,846,903,0,No
Application Fee Received,44,848,860,161,No
Application Fee Received,57,834,838,135,No
Application Fee Received,57,732,576,121,No
Application Fee Received,53,767,726,134,No
Application Fee Received,54,624,504,70,No
Application Fee Received,50,734,603,100,No
Application Fee Received,50,781,596,78,No
Application Fee Received,61,882,776,0,No
Application Fee Received,52,574,586,71,No
Application Fee Received,63,711,789,0,No
Application Fee Received,38,513,469,0,No
Application Fee Received,50,727,778,158,No
Application Fee Received,64,700,802,0,No
Application Fee Received,47,793,868,0,No
Application Fee Received,53,846,888,171,No
Application Fee Received,43,636,644,70,No
Application Fee Received,29,539,805,0,No
Application Fee Received,43,687,694,94,No
Application Fee Received,44,812,614,0,No
Application Fee Received,56,739,704,114,No
Application Fee Received,53,959,826,129,No
Application Fee Received,47,589,553,0,No
Application Fee Received,50,785,584,89,No
Application Fee Received,61,813,730,44,No
Application Fee Received,48,903,761,0,No
Application Fee Received,49,594,779,144,No
Application Fee Received,36,630,607,143,No
Admission Fee Challan Received,61,829,853,172,Yes
Application Fee Received,59,689,749,146,No
Application Fee Received,47,606,619,37,No
Application Fee Received,37,882,801,170,No
Application Fee Received,50,832,679,0,No
Application Fee Received,1,767,752,0,No
Application Fee Received,61,636,814,0,No
Application Fee Received,60,854,911,0,Yes
Application Fee Received,52,859,764,129,No
Application Fee Received,58,804,741,101,No
Application Fee Received,49,818,743,0,No
Application Fee Received,32,622,718,126,No
Application Fee Received,64,789,796,168,No
Application Fee Received,52,729,778,0,No
Application Fee Received,52,726,742,45,No
Application Fee Received,51,667,762,0,No
Application Fee Received,43,672,708,107,No
Application Fee Received,56,801,685,0,No
Application Fee Received,50,748,620,39,No
Application Fee Received,72,808,786,0,No
Application Fee Received,50,808,825,143,No
Application Fee Received,48,679,675,150,No
Application Fee Received,55,819,917,151,Yes
Application Fee Received,45,841,819,142,No
Application Fee Received,54,700,737,125,No
Application Fee Received,52,767,663,157,No
Application Fee Received,40,777,504,87,No
Application Fee Received,50,605,631,126,No
Application Fee Received,55,701,629,136,No
Application Fee Received,55,695,675,128,No
Application Fee Received,38,639,692,145,No
Admission Fee Challan Printed,61,942,860,139,Yes
Admission Fee Challan Printed,70,933,950,0,Yes
Application Fee Received,44,781,776,128,No
Application Fee Received,35,698,624,99,No
Application Fee Received,58,747,776,122,No
Application Fee Received,53,641,637,0,No
Application Fee Received,48,579,737,45,No
Application Fee Received,48,724,551,0,No
Application Fee Received,10,873,612,102,No
Application Fee Received,45,675,777,104,No
Application Fee Received,18,838,713,41,No
Application Fee Received,59,686,565,0,No
Application Fee Received,47,799,792,47,No
Application Fee Received,51,775,787,0,No
Application Fee Received,51,673,746,0,No
Application Fee Received,56,657,754,107,No
Admission Fee Challan Received,55,847,869,181,Yes
Application Fee Received,46,581,574,0,No
Application Fee Received,76,851,804,0,No
Application Fee Received,58,835,727,128,No
Application Fee Received,50,713,722,37,No
Admission Fee Challan Received,49,827,696,114,No
Application Fee Received,45,659,589,0,No
Application Fee Received,54,861,622,114,No
Application Fee Received,56,940,815,143,No
Application Fee Received,43,544,545,0,No
Application Fee Received,48,672,807,42,No
Application Fee Received,51,823,863,152,No
Application Fee Received,52,715,747,123,No
Application Fee Received,13,754,744,112,No
Application Fee Received,54,770,722,0,No
Application Fee Received,53,821,812,121,No
Application Fee Received,44,846,894,164,No
Application Fee Received,41,802,773,0,No
Application Fee Received,54,626,776,0,No
Application Fee Received,60,868,916,172,Yes
Application Fee Received,42,639,600,99,No
Application Fee Received,47,897,854,0,No
Application Fee Received,55,614,622,0,No
Application Fee Received,49,635,608,107,No
Application Fee Received,55,667,627,0,No
Application Fee Received,50,608,788,74,No
Application Fee Received,61,546,584,158,No
Application Fee Received,62,772,841,190,No
Application Fee Received,51,588,700,124,No
Application Fee Received,55,623,620,126,No
Application Fee Received,51,880,817,165,No
Application Fee Received,65,628,692,143,No
Application Fee Received,65,742,657,93,No
Application Fee Received,62,804,744,39,No
Application Fee Received,38,624,540,81,No
Application Fee Received,55,807,601,0,No
Application Fee Received,54,784,784,123,No
Application Fee Received,50,575,695,0,No
Application Fee Received,61,704,926,90,Yes
Application Fee Received,50,736,775,0,No
Application Fee Received,44,714,574,35,No
Application Fee Received,58,896,695,101,No
Application Fee Received,53,654,649,50,No
Application Fee Received,62,747,738,118,No
Application Fee Received,49,922,812,168,No
Admission Fee Challan Received,52,691,752,113,No
Admission Fee Challan Received,48,691,879,79,Yes
Application Fee Received,61,716,726,44,No
Application Fee Received,47,614,615,106,No
Application Fee Received,51,745,828,132,No
Application Fee Received,46,708,529,23,No
Application Fee Received,57,801,711,123,No
Application Fee Received,40,563,758,158,No
Application Fee Received,71,819,798,139,No
Application Fee Received,45,546,543,0,No
Admission Fee Challan Printed,50,765,764,107,No
Application Fee Received,51,804,733,109,No
Application Fee Received,52,557,600,43,No
Application Fee Received,67,660,825,150,No
Application Fee Received,46,745,618,116,No
Application Fee Received,45,675,777,104,No
Application Fee Received,18,838,713,41,No
Application Fee Received,59,912,867,156,Yes
Application Fee Received,57,793,831,141,No
Application Fee Received,49,761,551,0,No
Application Fee Received,56,700,724,0,No
Application Fee Received,52,612,718,0,No
Application Fee Received,49,811,797,111,No
Application Fee Received,30,588,792,0,No
Application Fee Received,55,811,780,147,No
Application Fee Received,46,931,815,0,No
Application Fee Received,54,881,833,158,No
Application Fee Received,43,791,677,0,No
